;club_name;player_name;age;position;club_involved_name;fee;transfer_movement;transfer_period;fee_cleaned;league_name;year;season;player_url;id-name
0;PSV Eindhoven;Gastón Pereiro;20.0;Attacking Midfield;Nacional;£6.30m;in;Summer;6.3;Eredivisie;2015;2015/2016;0;gastón-pereiro
1;Bayern Munich;Lucas Hernández;23.0;Centre-Back;Atlético Madrid;£72.00m;in;Summer;72.0;1 Bundesliga;2019;2019/2020;https://sofifa.com/player/220814/lucas-hernandez/200002;lucas-hernández
2;Ajax Amsterdam;Mohamed Daramy;19.0;Left Winger;FC Copenhagen;£10.80m;in;Summer;10.8;Eredivisie;2021;2021/2022;https://sofifa.com/player/246459/mohamed-daramy/220002;mohamed-daramy
3;Amiens SC;Saman Ghoddos;24.0;Attacking Midfield;Östersund;£3.60m;in;Summer;3.6;Ligue 1;2018;2018/2019;https://sofifa.com/player/231949/saman-ghoddos/190002;saman-ghoddos
4;Arsenal FC;Thomas Partey;27.0;Defensive Midfield;Atlético Madrid;£45.00m;in;Summer;45.0;Premier League;2020;2020/2021;https://sofifa.com/player/209989/thomas-partey/210002;thomas-partey
5;Feyenoord Rotterdam;Steven Berghuis;25.0;Right Winger;Watford;£5.85m;in;Summer;5.85;Eredivisie;2017;2017/2018;https://sofifa.com/player/200260/steven-berghuis/180002;steven-berghuis
6;PSV Eindhoven;Bart Ramselaar;20.0;Attacking Midfield;FC Utrecht;£4.28m;in;Summer;4.28;Eredivisie;2016;2016/2017;https://sofifa.com/player/227633/bart-ramselaar/170002;bart-ramselaar
7;Chelsea FC;Pedro;28.0;Right Winger;Barcelona;£24.30m;in;Summer;24.3;Premier League;2015;2015/2016;https://sofifa.com/player/189505/pedro-rodriguez-ledesma/160002;
8;Paris Saint-Germain;Mauro Icardi;27.0;Centre-Forward;Inter;£45.00m;in;Summer;45.0;Ligue 1;2020;2020/2021;https://sofifa.com/player/201399/mauro-icardi/210002;mauro-icardi
9;LOSC Lille;Amadou Onana;19.0;Defensive Midfield;Hamburger SV;£6.30m;in;Summer;6.3;Ligue 1;2021;2021/2022;https://sofifa.com/player/257057/amadou-onana/220002;amadou-onana
